input,time
1,0.008499999239575118
101,3.1882000039331615
201,11.271099996520206
301,20.25109999522101
401,27.043300004152115
501,23.452500005078036
601,41.26279999763938
701,43.51519999909215
801,111.81499999656808
901,169.55569999845466
1001,121.35119999584276
1101,124.95290000515524
1201,164.58300000522286
1301,176.2566000033985
1401,199.22619999852031
1501,263.3094999982859
1601,422.0798000023933
1701,331.4613000038662
1801,578.1616000022041
1901,741.2948999990476
2001,516.5057000049273
2101,491.887800002587
2201,546.0421000025235
2301,575.3731999939191
2401,610.6931999966037
2501,611.8233999950462
2601,962.1794999984559
2701,833.9522999958717
2801,741.3670000023558
2901,776.3034000017797
3001,1392.7660999979707
3101,980.6263000064064
3201,1258.0987999972422
3301,1104.363699996611
3401,1070.013899996411
3501,1147.8357000014512
3601,1271.8335000026855
3701,1453.1123999986448
3801,1499.8468999983743
3901,1563.7255999972695
4001,1929.7202000016114
4101,1754.1509000002407
4201,1843.4515000044485
4301,1994.331299996702
4401,2044.9423999962164
4501,2114.1735999990487
4601,2054.6038999964367
4701,2163.263900001766
4801,2145.563600002788
4901,2331.001300000935
